date_num,date,best_ask_price,best_ask_size,best_bid_price,best_bid_size,ask_total_size,bid_total_size,ask_weighted_average_price,bid_weighted_average_price,best_mid_price,mid_weighted_average_price
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225140,1000000,37700001,55400000,1226603.3156158272,1220118.0505415162,1225170.0,1223360.6830786718
1516577680.5,2018-01-21 23:34:40.500000,1225190,1000000,1225140,1000000,37700001,55400000,1226603.0503638447,1220118.0505415162,1225165.0,1223360.5504526803
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225120,1000000,64700001,79400000,1226097.7588751505,1221566.3727959697,1225160.0,1223832.0658355602
1516577680.5,2018-01-21 23:34:40.500000,1225200,1000000,1225130,1000000,64700001,79400000,1226097.7588751505,1221572.670025189,1225165.0,1223835.2144501698
1516577680.6,2018-01-21 23:34:40.600000,1225210,1000000,1225130,1000000,64700001,80400000,1226105.1777312956,1221616.5422885572,1225170.0,1223860.8600099264
1516577680.6,2018-01-21 23:34:40.600000,1225210,1000000,1225140,1000000,62200001,81000000,1226140.755613814,1221643.3580246915,1225175.0,1223892.0568192527
1516577680.6,2018-01-21 23:34:40.600000,1225190,1000000,1225160,1000000,37200001,56500000,1226622.17738435,1220215.9646017698,1225175.0,1223419.0709930598
1516577680.6,2018-01-21 23:34:40.600000,1225210,1000000,1225160,1000000,37200001,56500000,1226622.715018744,1220215.9646017698,1225185.0,1223419.3398102568
1516577680.6,2018-01-21 23:34:40.600000,1225230,1000000,1225140,1000000,63200001,81500000,1226128.7183416341,1221664.9325153374,1225185.0,1223896.8254284859
1516577680.6,2018-01-21 23:34:40.600000,1225230,1000000,1225160,500000,61200001,81000000,1226157.5980255294,1221644.2222222222,1225195.0,1223900.9101238758
1516577680.6,2018-01-21 23:34:40.600000,1225210,1000000,1225170,1000000,37200001,58000000,1226623.11824454,1220343.5689655172,1225190.0,1223483.3436050285
1516577680.6,2018-01-21 23:34:40.600000,1225220,1000000,1225170,1000000,37200001,58000000,1226623.387061737,1220343.5689655172,1225195.0,1223483.4780136272
1516577680.6,2018-01-21 23:34:40.600000,1225240,1000000,1225160,500000,62200001,82000000,1226144.0514336969,1221687.6463414633,1225200.0,1223915.84888758
1516577680.6,2018-01-21 23:34:40.600000,1225220,1000000,1225180,1000000,37200001,58000000,1226623.387061737,1220343.7413793104,1225200.0,1223483.5642205237
1516577680.6,2018-01-21 23:34:40.600000,1225230,1000000,1225180,1000000,37200001,58000000,1226623.655878934,1220343.7413793104,1225205.0,1223483.6986291222
1516577682.6,2018-01-21 23:34:42.600000,1225230,1000000,1225190,1000000,37200001,56900000,1226623.655878934,1220251.5817223198,1225210.0,1223437.618800627
1516577682.6,2018-01-21 23:34:42.600000,1225240,1000000,1225170,1000000,62200001,82900000,1226144.2122053986,1221724.4270205067,1225205.0,1223934.3196129526
1516577684.3,2018-01-21 23:34:44.300000,1225240,1000000,1225180,1000000,62200001,82900000,1226144.6945205033,1221730.4583835946,1225210.0,1223937.576452049
1516577684.3,2018-01-21 23:34:44.300000,1225250,1000000,1225180,1000000,58200001,83900000,1226217.2680258201,1221773.6591179976,1225215.0,1223995.463571909
1516577684.3,2018-01-21 23:34:44.300000,1225260,2000000,1225180,1000000,60200001,83900000,1226187.1262314431,1221773.778307509,1225220.0,1223980.452269476
1516577684.4,2018-01-21 23:34:44.400000,1225260,1000000,1225180,1000000,63700001,81900000,1226128.8068946812,1221691.5140415141,1225220.0,1223910.1604680978
1516577684.4,2018-01-21 23:34:44.400000,1225250,1000000,1225180,1000000,63700001,81900000,1226128.6499088125,1221691.1477411478,1225215.0,1223909.89882498
